,code
1732,sz300303
1733,sz300304
1734,sz300305
1735,sz300306
1736,sz300307
1737,sz300308
1738,sz300309
1739,sz300310
1740,sz300311
1741,sz300312
1742,sz300313
1743,sz300314
1744,sz300315
1745,sz300316
1746,sz300317
1747,sz300318
1748,sz300319
1749,sz300320
1750,sz300321
1751,sz300322
1752,sz300323
1753,sz300324
1754,sz300325
1755,sz300326
1756,sz300327
1757,sz300328
1758,sz300329
1759,sz300330
1760,sz300331
1761,sz300332
1762,sz300333
1763,sz300334
1764,sz300335
1765,sz300336
1766,sz300337
1767,sz300338
1768,sz300339
1769,sz300340
1770,sz300341
1771,sz300342
1772,sz300343
1773,sz300344
1774,sz300345
1775,sz300346
1776,sz300347
1777,sz300348
1778,sz300349
1779,sz300350
1780,sz300351
1781,sz300352
1782,sz300353
1783,sz300354
1784,sz300355
1785,sz300356
1786,sz300357
1787,sz300358
1788,sz300359
1789,sz300360
1790,sz300362
1791,sz300363
1792,sz300364
1793,sz300365
1794,sz300366
1795,sz300367
1796,sz300368
1797,sz300369
1798,sz300370
1799,sz300371
1800,sz300372
1801,sz300373
1802,sz300374
1803,sz300375
1804,sz300376
1805,sz300377
1806,sz300378
1807,sz300379
1808,sz300380
1809,sz300381
1810,sz300382
1811,sz300383
1812,sz300384
1813,sz300385
1814,sz300386
1815,sz300387
1816,sz300388
1817,sz300389
1818,sz300390
1819,sz300391
1820,sz300392
1821,sz300393
1822,sz300394
1823,sz300395
1824,sz300396
1825,sz300397
1826,sz300398
1827,sz300399
1828,sz300400
1829,sz300401
1830,sz300402
1831,sz300403
1832,sz300404
1833,sz300405
1834,sz300406
1835,sz300407
1836,sz300408
1837,sz300409
1838,sz300410
1839,sz300411
1840,sz300412
1841,sz300413
1842,sz300414
1843,sz300415
1844,sz300416
1845,sz300417
1846,sz300418
1847,sz300419
1848,sz300420
1849,sz300421
1850,sz300422
1851,sz300423
1852,sz300424
1853,sz300425
1854,sz300426
1855,sz300427
1856,sz300428
1857,sz300429
1858,sz300430
1859,sz300431
1860,sz300432
1861,sz300433
1862,sz300434
1863,sz300435
1864,sz300436
1865,sz300437
1866,sz300438
1867,sz300439
1868,sz300440
1869,sz300441
1870,sz300442
1871,sz300443
